Product ID,Product Ingredients
T21,"Water/Aqua/Eau, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Glycerin, Sodium Chloride, Polysorbate 20, Aloe Barbadensis Leaf Extract, Butyrospermum Parkii (Shea) Butter, Caryodendron Orinocense Seed Oil, Cocos Nucifera (Coconut) Fruit Extract, Cocos Nucifera (Coconut) Oil, Helianthus Annuus (Sunflower) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Cucumis Sativus (Cucumber) Fruit Extract, Camellia Sinensis Leaf Extract, Panthenol, Caprylyl Glycol, Ethylhexylglycerin, Citric Acid, Cocamidopropyl Dimethylamine, Peg-60 Hydrogenated Castor Oil, Peg-120 Methyl Glucose Dioleate, Guar Hydroxypropyltrimonium Chloride, Disodium Edta, Decyl Glucoside, Polyquaternium-10, C12-18 Acid Triglyceride, Sodium Glycolate, Potassium Sorbate, Sodium Sulfite, Phenoxyethanol, Sodium Benzoate, Phenethyl Alcohol, Fragrance"
T22,"Water (Aqua, Eau), Decyl Glucoside, Cocamidopropylamine Oxide, Polysorbate-20, Peg-40 Hydrogenated Castor Oil, Cocamidopropyl Betaine, Sodium C14-16 Olefin Sulfonate, Acetamide Mea, Fragrance (Parfum), Phenoxyethanol, Polyquaternium-10, Citric Acid, Benzoic Acid, Ethylhexyl Glycerin, Glycereth-2 Cocoate, Citral, Citronellol, Limonene, Linalool, *Orbignya Oleifera (Babassu) Seed Oil *Certified Organic Ingredient"
T24,"Aqua/Water/Eau, Sodium Cocoyl Isethionate, Disodium Laureth Sulfosuccinate, Sodium Lauryl Sulfoacetate, Sodium Lauroyl Sarcosinate, Cocamidopropyl Betaine, Glycol Distearate, Parfum (Fragrance), Divinyldimethicone/Dimethicone Copolymer, Glycereth-26, Decyl Glucoside, Hydrogenated Coconut Acid, Ppg-5-Ceteth-20, Polyquaternium-7, Peg-55 Propylene Glycol Oleate, Propylene Glycol, Sodium Chloride, Amodimethicone, Polyquaternium-10, Potassium Hydroxide, Sodium Isethionate, Carbomer, C11-15 Pareth-7, Benzoic Acid, Glycerin, Mangifera Indica (Mango) Seed Butter, Cocos Nucifera (Coconut) Oil, Astrocaryum Murumuru Seed Butter, Laureth-9, C12-13 Pareth-23, C12-13 Pareth-3, Trideceth-12, Benzyl Alcohol, Sodium Benzoate, Magnesium Nitrate, Phenoxyethanol, Linalool, Sodium Acetate, Salicylic Acid, Cocos Nucifera (Coconut Milk) Fruit Extract, Isopropyl Alcohol, Methylchloroisothiazolinone, Sorbic Acid, Magnesium Chloride, Methylisothiazolinone, Xanthan Gum, Potassium Sorbate, Tocopherol (Vitamin E), Citric Acid."
T25,"Water, Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocamide Mipa, Disodium Lauryl Sulfosuccinate, Cannabis Sativa (Hemp) Seed Oil, Limonium Gerberi (Sea Lavender) Extract, Zeolite, Tapioca Flour Starch, Kaolin, Panthenol, Polyquaternium-7, Glycol Distearate, Acrylates Copolymer, Lauramidopropyl Betaine, Sodium C14-C16 Olefin Sulfonate, Sodium Benzoate, Polyester-37, Potassium Sorbate, Trisodium Ethylenediamine Disuccinate, Acetic Acid, Caprylic/Capric Triglyceride, Phenoxyethanol, Fragrance"
T27,"Aqua/Water/Eau, Sodium C14-16 Olefin Sulfonate, Cocamide Mipa, Cocamidopropyl Betaine, Glycerin, Sodium Chloride, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Menthol, Aloe Barbadensis (Aloe Vera) Leaf Juice, Panthenol, Polyquaternium-7, Guar Hydroxypropyltrimonium Chloride, Sodium Hydroxide, Hydroxypropyl Methylcellulose, Citric Acid, Glycol Distearate, Sodium Benzoate, Sodium Salicylate, Potassium Sorbate, Trisodium Ethylenediamine Disuccinate, Isopropanolamine, Parfum/Fragrance, Limonene, Linalool, Linalyl Acetate, Tetramethyl Acetyloctahydronaphthalenes"
T28,"Water, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Hydroxysultaine, Dimethyl Lauramide/Myristamide, Fragrance, Amaranthus Caudatus Seed Extract, Hydrolyzed Rice Protein, Glycerin, Propanediol, Cetrimonium Chloride, Glycol Distearate, Polyquaternium-10, Coco-Glucoside, Sodium Methyl 2-Sulfolaurate, Disodium 2-Sulfolaurate, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Citric Acid, Sodium Chloride, Sodium Benzoate, Potassium Sorbate, Ext. Violet 2"
T29,"Water/Eau, Sodium Lauryl Sulfate, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Simmondsia Chinensis (Jojoba) Seed Oil, Persea Gratissima (Avocado) Oil, Fragrance/Parfum, Sodium Citrate, Cocamide Mea, Sodium Xylenesulfonate, Dimethicone, Citric Acid, Sodium Benzoate, Sodium Chloride, Guar Hydroxypropyltrimonium Chloride, Tetrasodium Edta, Methylchloroisothiazolinone, Methylisothiazolinone, Yellow 5, Red 33."
T30,"Water, Cocamidopropyl Betaine, Glycerin (Vegetable), Glycol Distearate, Sodium Lauroyl Isethionate, Sodium Chloride, Butyrospermum Parkii (Shea) Butter*♥, Honey, Yogurt Powder, Adansonia Digitata (Baobab) Seed Oil, Trichilia Emetica (Mafura) Seed Butter, Cocos Nucifera (Coconut) Oil, Panthenol, Sodium Methyl Cocoyl Taurate, Polyquaternium-10, Sodium Isethionate, Citric Acid, Sodium Phytate, Sodium Benzoate, Potassium Sorbate, Fragrance, *Certified Organic Ingredient, ♥fair Trade Ingredient"
T31,"Water, Cocamidopropyl Betaine, Fragrance, Glycerin (Vegetable), Sodium Lauroyl Isethionate, Sodium Chlorire Butyrospermum Parkii (Shea) Butter*♥, Honey (Miel), Trichilía Emetica (Mafura) Seed Butter, Panthenol, Adansonia Digitata (Baobab) Seed Oil, Ficus Carica (Fig) Fruit/Leaf Extract, Aloe Barbadensis Leaf Juice, Hydrolyzed Rice Protein, Glycol Distearate, Sodium Methyl Cocoyl Taurate, Polyquaternium-10, Guar Phoroxypropyltrimonium Chloride, Sodium Asethionate, Citric Acid, Sodium Phytate, Sodium Benzoate, Potassium Sorbate, *Certified Organic Ingredient ♥fair Trade Ingredient"
T32,"Water (Agua), Sodium C12-13 Pareth Sulfate, Cocamidopropyl Betaine, Sodium Gluconate, Fragrance (Fragancia), Dimethiconol, Sodium Chloride, Citric Acid, Glycerin, Glycol Distearate, Carbomer, Sodium Benzoate, Sodium Laureth Sulfate, Guar Hydroxypropyltrimonium Chloride, Ppg-9, Tea-Dodecylbenzenesulfonate, Cocamide Mea, Disodium Edta, Peg-45m, Cocos Nucifera (Coconut) Oil, Hydrolyzed Hyaluronic Acid, Hydrolyzed Soy Protein, Benzyl Salicylate, Citronellol, Hexyl Cinnamal, Limonene, Linalool, Mica (Ci 77019), Titanium Dioxide (Ci 77891)."
T33,"Ingredients: Water (Eau), Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Glycerin (Vegetable/Vegetale), Sodium Gluconate, Butyrospermum Parkii (Shea) Butter*♥, Emblica Officinalis (Amla) Fruit, Helianthus Annuus (Sunflower) Seed Oil, Serine, Arginine, Histidine Hcl, Glutamic Acid, Citric Acid, Polyquaternium-10, Glycol Distearate, Diheptyl Succinate, Capryloyl Glycerin/Sebacic Acid Copolymer, Sodium Chloride, Carbomer, Sodium Hydroxide, Peg-45m, Ppg-9, Sodium Benzoate, Fragrance (Parfum)"
T34,"Water (Eau), Cocamidopropyl Betaine, Sodium Lauroyl Isethionate, Sodium Chloride, Glycerin (Vegetable/Vegetale), Stearamidopropyl Dimethylamine, Sodium Methyl Cocoyl Taurate, Butyrospermum Parkii (Shea) Butter*+, Aloe Barbadensis Leaf Juice, Rosmarinus Officinalis (Rosemary) Extract, Centella Asiatica (Gotu Kola) Extract, Stearic Acid, Niacinamide, Cocos Nucifera (Coconut) Oil, Hydroxystearic Acid, Triolein, Polyquaternium-10, Guar Hydroxypropyltrimonium Chloride, Isopropyl Palmitate, Gluconolactone, Menthol, Propanediol, Sodium Isethionate, Decyl Glucoside, Sodium Hydroxide, Sodium Benzoate, Caprylyl Glycol, Caprylhydroxamic Acid, Benzoic Acid, Fragrance (Parfum) *Certified Organic Ingredient, +fair Trade Ingredient Natural Ingredients May Vary In Color And Consistency."
T35,"Active Ingredients: Ketoconazole W/W(1%).; Inactive Ingredients: Benzyl Alcohol, Bht, Blue 1, Citric Acid, Cocamide Mea, Fragrance, Glycol Distearate, Hydrochloric Acid, Hydroxypropyl Methylcellulose, Polyquaternium-7, Sodium Benzoate, Sodium Chloride, Sodium Cocoyl Sarcosinate, Sodium Hydroxide, Sodium Laureth Sulfate, Tetrasodium Edta, Water"
T36,"Water/Eau, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Citric Acid, Simmondsia Chinensis (Jojoba) Seed Oil, Rosa Canina Fruit Extract, Sodium Citrate, Sodium Xylenesulfonate, Fragrance/Parfum, Cocamide Mea, Sodium Chloride, Sodium Benzoate, Tetrasodium Edta, Peg-60 Almond Glycerides, Linoleamidopropyl Pg-Dimonium Chloride Phosphate, Guar Hydroxypropyltrimonium Chloride, Tocopheryl Acetate, Methylchloroisothiazolinone, Tocopherol, Methylisothiazolinone, Red 33, Yellow 5, Blue 1."
T37,"Water, Sodium Lauryl Sulfate, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Simmondsia Chinensis (Jojoba) Seed Oil, Persea Gratissima (Avocado) Oil, Fragrance, Sodium Citrate, Cocamide Mea, Sodium Xylenesulfonate, Dimethicone, Citric Acid, Sodium Benzoate, Sodium Chloride, Guar Hydroxypropyltrimonium Chloride, Tetrasodium Edta, Methylchloroisothiazolinone, Methylisothiazolinone, Yellow 5, Red 33"
T38,"Water, Sodium Lauryl Sulfate, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Sodium Citrate, Cocamide Mea, Sodium Xylenesulfonate, Dimethicone, Fragrance, Sodium Chloride, Citric Acid, Sodium Benzoate, Tetrasodium Edta, Guar Hydroxypropyltrimonium Chloride, Polyquaternium-6, Histidine, Panthenol, Panthenyl Ethyl Ether, Methylchloroisothiazolinone, Methylisothiazolinone"
T40,"1101573pt23 Aqua/Water/Eau, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Dimethicone, Sodium Chloride, Parfum Fragrance, Citric Acid, Hexylene Glycol, Sodium Benzoate, Sodium Hydroxide, Amodimethicone, Carbomer, Guar Hydroxypropyltrimonium Chloride, Trideceth-10, Salicylic Acid, Glycol Distearate, Mica, Linalool, Hexyl Cinnamal, Peg-100 Stearate, Benzyl Salicylate, Benzyl Alcohol, Phenoxyethanol, Steareth-6, Limonene, Hydroxypropyltrimonium Hydrolyzed Wheat Protein, Coco-Betaine, Trideceth-3, Ci 77891/Titanium Dioxide, Amyl Cinnamal, Coumarin, Citronellol, Alpha-Isomethyl Ionone, 2-Oleamido-1.3-Octadecanediol, Acetic Acid, Fumaric Acid."
T41,"Water (Eau), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Sodium Gluconate, Cocos Nucifera (Coconut) Oil, Caulerpa Lentillifera Extract, Hydrolyzed Elastin, Hydrolyzed Keratin, Collagen Amino Acids, Sodium Chloride, Fragrance (Parfum), Polyquaternium-10, Peg-6 Caprylic/Capric Glycerides, Citric Acid, Ppg-9, Sodium Benzoate, Cocamide Mea, Disodium Edta, Peg-150 Pentaerythrityl Tetrastearate, Ppg-2 Hydroxyethyl Cocamide, Coumarin"
T42,"Water, Sodium Lauryl Sulfate, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Sodium Citrate, Cocamide Mea, Sodium Xylenesulfonate, Sodium Chloride, Fragrance, Dimethicone, Citric Acid, Sodium Benzoate, Tetrasodium Edta, Guar Hydroxypropyltrimonium Chloride, Polyquaternium-6, Histidine, Panthenol, Panthenyl Ethyl Ether, Methylchloroisothiazolinone, Methylisothiazolinone"
T44,"Water (Aqua), Sodium Methyl Cocoyl Taurate, Decyl Glucoside, Cocamidopropyl Betaine, Biotin, Hydrolyzed Collagen, Sodium Hydrolyzed Potato Starch Dodecenylsuccinate, Starch Hydroxypropyltrimonium Chloride, Amodimethicone, Coco-Glucoside, Glyceryl Oleate, Peg-150 Distearate, Hexylene Glycol, Citric Acid, Sodium Hydroxide, Sodium Benzoate, Fragrance (Parfum)."
T45,"Water (Agua), Sodium C12-13 Pareth Sulfate, Cocamidopropyl Betaine, Sodium Gluconate, Fragrance (Fragancia), Dimethiconol, Sodium Chloride, Citric Acid, Glycerin, Glycol Distearate, Carbomer, Sodium Benzoate, Sodium Laureth Sulfate, Guar Hydroxypropyltrimonium Chloride, Ppg-9, Tea-Dodecylbenzenesulfonate, Cocamide Mea Disodium Edta, Peg-45m, Cocos Nucifera (Coconut) Oil, Hydrolyzed Soy Protein, Avena Sativa (Oat) Peptide, Sh-Polypeptide-50, Ceramide Np, Phytosphingosine, Ceramide Ap, Ceramide Eop, Benzyl Salicylate, Citronellol, Hexyl Cinnamal, Limonene, Linalool, Mica (Ci 77019), Titanium Dioxide (Ci 77891)."
T46,"Active Ingredients: Pyrithione Zinc(1.0%).; Inactive Ingredients: Water (Aqua), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Citric Acid, Carbomer, Fragrance (Parfum), Dimethiconol, Phenoxyethanol, Sodium Benzoate, Sodium Salicylate, Zinc Sulfate, Ppg-9, Guar Hydroxypropyltrimonium Chloride, Tea-Dodecylbenzenesulfonate, Butyrospermum Parkii (Shea) Butter, Cocos Nucifera (Coconut) Oil"
T47,"Active Ingredients: Pyrithione Zinc 1.0%; Inactive Ingredients: Water, Lauramidopropyl Betaine, Sodium Cocoyl Isethionate, Fragrance, Polyquaternium-10, Acrylates Copolymer, Sodium Benzoate, Citric Acid"
T49,"Water, Lauramidopropyl Betaine, Sodium Cocoyl Isethionate, Sodium Lauroyl Sarcosinate, Sodium Citrate, Citric Acid, Fragrance, Sodium Benzoate, Polyquaternium-10, Sodium Salicylate"
T51,"Active: Pyrithione Zinc, 1%. Inactive: Water, Lauramidopropyl Betaine, Sodium Cocoyl Isethionate, Sodium Lauroyl Sarcosinate, Sodium Citrate, Sodium Chloride, Argania Spinosa Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Acrylates Copolymer, Fragrance, Polyquaternium-10, Dimethiconol, Citric Acid, Sodium Benzoate, Sodium Salicylate."
T52,"Active Ingredients: Selenium Sulfide 1.0%; Inactive Ingredients: Water, Ammonium Lauryl Sulfate, Distearyl Phthalic Acid Amide, Ammonium Laureth Sulfate, Sodium Chloride, Cocamide Mea, Dimethicone, Aloe Barbadensis Leaf Juice, Hydroxypropyl Methylcellulose, Sodium Isostearoyl Lactylate, Dmdm Hydantoin, Fragrance, Citric Acid, Sodium Citrate, Titanium Dioxide, Blue 1 (309-082)"
T53,"Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Lauryl Sulfate, Sodium Chloride, Fragrance, Phenoxyethanol, Glycerin, Sodium Sulfate, Disodium Edta, Peg-4 Laurate, Peg-4 Dilaurate, Citric Acid Tetrasodium Edta, Cetearamidoethyldiethonium Succinoyl Hydrolyzed Pea Protein, Peg-1m, Peg-1m, Iodopropynyl Butylcar Bamate, Hypnea Musciformis Extract, Sargassum Filipendula Extract, Sorbitol T, Sorbitol, Gelidiella Acerosa Extract, Methylchloroisothiazolinone, Caprylic/Capric Triglyceride, Ricinus Communis (Castor) Seed Oil, Chamomilla Recutita (Matricaria) Flower Extract, Persea Gratissima (Avocado) Oil, Helianthus Annuus (Sunflower) Seed Oil, Mangifera Indica (Mango) Seed Butter, Methylisothiazolinone, Coco-Glucoside, Ethylhexylglycerin, Sorbitan Oleate, Algin, Carrageenan, Chitosan, Guar Hydroxypropyltrimonium Chloride, Xanthan Gum, Red 33 (Ci 17200), Limonene."
T54,"Water (Eau), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Sodium Gluconate, Oryza Sativa (Rice) Extract, Hydrolyzed Elastin, Collagen Amino Acids, Hydrolyzed Keratin, Sodium Chloride, Fragrance (Parfum), Polyquaternium-10, Peg-6 Caprylic/Capric Glycerides, Citric Acid, Ppg-9, Sodium Benzoate, Cocamide Mea, Disodium Edta, Peg-150 Pentaerythrityl Tetrastearate, Ppg-2 Hydroxyethyl Cocamide, Citronellol, Coumarin, Hexyl Cinnamal, Linalool"
T55,"What'S In The Bottle: Water (Eau), Sodium (C14-16) Olefin Sulfonate, Cocamidopropyl Betaine (Denotes Plant Or Mineral Origin), Fragrance (Parfum), Citric Acid (Denotes Plant Or Mineral Origin), Cocos Nucifera (Coconut) Oil (Denotes Plant Or Mineral Origin), Glycerin (Denotes Plant Or Mineral Origin), Panthenol, Polyquaternium-10, Polysorbate 80, Tetrasodium Glutamate Diacetate (Denotes Plant Or Mineral Origin), Argania Spinosa Kernel (Argan) Oil (Denotes Plant Or Mineral Origin), Camellia Sinensis (Green Tea) Leaf Extract (Denotes Plant Or Mineral Origin), Cucumis Sativus (Cucumber) Fruit Extract (Denotes Plant Or Mineral Origin), Fucus Vesiculosus (Seaweed) Extract (Denotes Plant Or Mineral Origin), Simmondsia Chinensis (Jojoba) Seed Oil (Denotes Plant Or Mineral Origin), Potassium Sorbate, Sodium Benzoate."
T56,"Water, Lauramidopropyl Betaine, Sodium Cocoyl Isethionate, Sodium Lauroyl Sarcosinate, Sodium Citrate, Citric Acid, Fragrance, Sodium Benzoate, Sodium Salicylate, Polyquaternium-10"
T57,Water Sodium Cocoyl Isethionate Lauramidopropyl Betaine Cocamidopropyl Betaine Sodium Lauroyl Sarcosinate Fragrance Biotin Panthenol Panthenyl Ethyl Ether Histidine Polyquaternium-10 Citric Acid Sodium Citrate Sodium Benzoate Sodium Salicylate Tetrasodium Edta
T59,"Water, Sodium Lauryl Sulfate, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Dimethicone, Panthenol, Panthenyl Ethyl Ether, Histidine, Cocamide Mea, Sodium Xylenesulfonate, Polyquaternium-6, Guar Hydroxypropyltrimonium Chloride, Fragrance, Sodium Chloride, Sodium Citrate, Sodium Benzoate, Tetrasodium Edta, Citric Acid, Methylchloroisothiazolinone, Methylisothiazolinone"
T60,"Active Ingredients: Pyrithione Zinc 1.0%; Inactive Ingredients: Water, Sodium Lauryl Sulfate, Sodium Laureth Sulfate, Glycol Distearate, Sodium Chloride, Zinc Carbonate, Cocamidopropyl Betaine, Sodium Xylenesulfonate, Fragrance, Dimethicone, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, Magnesium Carbonate Hydroxide, Yellow 5, Blue 1"
T61,"Water/Eau, Sodium Lauryl Sulfate, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Dimethicone, Prunus Armeniaca (Apricot) Kernel Oil, Macadamia Ternifolia Seed Oil, Fragrance/Parfum, Sodium Citrate, Cocamide Mea, Sodium Xylenesulfonate, Citric Acid, Sodium Benzoate, Sodium Chloride, Tetrasodium Edta, Guar Hydroxyproyltrimonium Choloride, Methylchloroisothiazolinone, Methylisothiazolinone, Yellow 5, Red 33."
T62,"Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Fragrance, Dimethiconol, Glycol Distearate, Glycerin, Carbomer, Guar Hydroxypropyltrimonium Chloride, Citric Acid, Tea-Dodecylbenzenesulfonate, Ppg-9, Tetrasodium Edta, Dmdm Hydantoin, Peg-45m, Cocamide Mea, Propylene Glycol, Sodium Benzoate, Cucumis Sativus (Cucumber) Fruit Extract, Methylchloroisothiazolinone, Methylisothiazolinone, Mica (Ci 77019), Titanium Dioxide (Ci 77891), Yellow 5 (Ci 19140), Blue 1 (Ci 42090)"
T63,"Water (Aqua), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Sodium Gluconate, Cocos Nucifera (Coconut) Oil, Cocos Nucifera (Coconut) Liquid Endosperm, Vitis Vinifera (Grape) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Citrus Aurantifolia (Lime) Juice, Fragrance (Parfum), Glycerin, Citric Acid, Sodium Benzoate, Ppg-9, Polyquaternium-10, Disodium Edta, Citronellol, Limonene, Linalool."
T64,"Aqua/Water, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Laureth-5 Carboxylic Acid, Sodium Chloride, Fragrance, Caprylyl/Capryl Glucoside, Citric Acid, Sodium Hydroxide, Hexylene Glycol, Sodium Benzoate, Peg-55 Propylene Glycol Oleate, Propylene Glycol, Arginine, Salicylic Acid, Polyquaternium-67, Ascorbyl Glucoside, Benzoic Acid, Linalool, Limonene, Benzyl Alcohol, Citronellol, F.I.L.# T70029377/1"
T65,Active Ingredients: Pyrithione Zinc 1.0%; Inactive Ingredients: Water Lauramidopropyl Betaine Sodium Cocoyl Isethionate Fragrance Acrylates Copolymer Polyquaternium-10 Sodium Benzoate Citric Acid
T66,"Water, Sodium Cocoyl Isethionate, Lauramidopropyl Betaine, Cocamidopropyl Betaine, Sodium Lauroyl Sarcosinate, Fragrance, Biotin, Collagen, Panthenol, Panthenyl Ethyl Ether, Tocopheryl Acetate, Histidine, Polyquaternium-10, Citric Acid, Sodium Citrate, Sodium Benzoate, Sodium Salicylate, Tetrasodium Edta"
T67,"Water (Eau), Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Sodium Chloride, Sodium Gluconate, Glutamic Acid, Cysteine Hcl, Serine, Glycine, Histidine Hcl, Hydrolyzed Keratin, Collagen Amino Acids, Hydrolyzed Elastin, Glycerin, Fragrance (Parfum), Citric Acid, Glycol Distearate, Sodium Benzoate, Polyquaternium-10, Ppg-9, Peg-45m, Propylene Glycol, Phenoxyethanol, Hexyl Cinnamal, Yellow 5 (Ci 19140), Red 33 (Ci 17200)"
