U10,"Aqua / Water / Eau, Sodium C14-16 Olefin Sulfonate, Glycerin, Cocamidopropyl Betaine, Glycol Distearate, Peg-150 Distearate, Sodium Lauroyl Sarcosinate, Propylene Glycol, Cocamide Mipa, Hexylene Glycol, Parfum / Fragrance, Citric Acid, Sodium Hydroxide, Sodium Chloride, Sodium Benzoate, Peg-55 Propylene Glycol Oleate, Coco-Betaine, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Peg/Ppg-4/12 Dimethicone, Salicylic Acid, Carbomer, Amodimethicone, Limonene, Benzoic Acid, Polyquaternium-7, Tocopherol, Linalool, Benzyl Salicylate, Benzyl Alcohol, Alpha-Isomethyl Ionone, Trideceth-6, Glycine Soja Oil / Soybean Oil, Arginine, Serine, Glutamic Acid, Cetrimonium Chloride, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate"
U11,"Water/Aqua/Eau, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Sodium Methyl Cocoyl Taurate, Sodium Lauroamphoacetate, Lauryl Glucoside, Disodium Laureth Sulfosuccinate, Betaine, Phenoxyethanol, Sodium Lauryl Sulfoacetate, Dimethicone Propyl PG-Betaine, Arginine, Avena Sativa (Oat) Peptide, Phosphatidylcholine, Moringa Oleifera Seed Oil, Laurdimonium Hydroxypropyl Hydrolyzed Keratin, Arginine HCl, Glycol Distearate, Guar Hydroxypropyltrimonium Chloride, Isostearamide MIPA, Polyquaternium-47, Citric Acid, Polyquaternium-7, Laureth-4, PEG-120 Methyl Glucose Dioleate, Dimethicone PEG-8 Meadowfoamate, PEG-4 Laurate, Quaternium-80, Methyl Gluceth-10, Methoxy PEG/PPG-7/3 Aminopropyl Dimethicone, Tetrasodium EDTA, Glyceryl Laurate, Tocopherol, Rosa Canina Fruit Oil, Dipropylene Glycol, C10-40 Isoalkylamidopropylethyldimonium Ethosulfate, Sodium Hydroxide, Iodopropynyl Butylcarbamate, Citronellol, Fragrance/Parfum"
U12,"Aqua (Water, Eau), Sodium Laureth Sulfate, Ammonium Lauryl Sulfate, Cocamidopropyl Betaine, Butylene Glycol, Decyl Glucoside, Dimethicone, PCA Dimethicone, Cocamide MIPA, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Lavandula Angustifolia (Lavender) Extract, Mentha Spicata Flower/Leaf/Stem Extract, Glycine, Tyrosine, Cysteine, Leucine, Cetyl Alcohol, Glyceryl Distearate, IPDI/PEG-15 Soyamine Copolymer Dimer Dilinoleate, Trimethylolpropane Tricaprylate/Tricaprate, Hydrogenated Polydecene, PEG-150 Distearate, Polyquaternium-7, Cetyl Triethylmonium Dimethicone PEG-8 Succinate, Caprylyl Glycol, Phenoxyethanol, Hexylene Glycol, Sodium Coco PG-Dimonium Chloride Phosphate, Panthenyl Ethyl Ether, Citric Acid, Polyquaternium-10, Histidine HCl, Disodium EDTA, Methylchloroisothiazolinone, Methylisothiazolinone, Magnesium Chloride, Magnesium Nitrate, Glycerin, Parfum (Fragrance), Benzyl Alcohol, Limonene, Linalool"
U13,"Aqua / Water / Eau, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Glycol Distearate, Hexylene Glycol, Parfum / Fragrance, Cocamide Mea, Citric Acid, Sodium Benzoate, Sodium Hydroxide, Dimethicone, Carbomer, Coco-Betaine, Salicylic Acid, Guar Hydroxypropyltrimonium Chloride, Menthol, Amodimethicone, Glycerin, Persea Gratissima Oil / Avocado Oil, Linalool, Trideceth-10, Benzyl Salicylate, Benzyl Alcohol, Coumarin, Peg-100 Stearate, Steareth-6, Sodium Hyaluronate, Limonene, Trideceth-3, Phenoxyethanol, Fumaric Acid, Acetic Acid, Tocopherol, Helianthus Annuus Seed Oil / Sunflower Seed Oil, Rosmarinus Officinalis Leaf Extract / Rosemary Leaf Extract"
U14,"Water (Aqua, Eau), Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Polyquaternium-7, Cocamide MIPA, Glycol Stearate, Polyquaternium-10, Panthenol, Propylene Glycol, Mentha Piperita (Peppermint) Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Disodium EDTA, Phytantriol, *Orbignya Oleifera (Babassu) Seed Oil, *Zingiber Officinale (Ginger) Root Oil, *Cocos Nucifera (Coconut) Oil, Equisetum Arvense (Horsetail Grass) Extract, Lawsonia Inermis (Henna) Extract, Rosmarinus Officinalis (Rosemary) Leaves Extract, Anthemis Nobilis (Chamomile) Flower Extract, Symphytum Officinale (Comfrey) Leaves Extract, Humulus Lupulus (Hops) Extract, Urtica Dioica (Nettle) Extract, Honey, Biotin, Ricinus Communis (Castor) Seed Oil, Phenoxyethanol, Benzoic Acid, Ethylhexylglycerin, Glycereth-2 Cocoate, Fragrance (Parfum) *Certified Organic Ingredient"
U15,"Aqua/Water/Eau, Sodium Laureth Sulfate, Lauryl Glucoside, Cetyl Alcohol, Sodium Chloride, Glycol Distearate, Citric Acid, Ppg-5-Ceteth-20, Parfum/Fragrance, Sodium Benzoate, Sodium Hydroxide, Cocamidopropyl Betaine, Limonene, Disodium EDTA, Salicylic Acid, Coco-Betaine, Saccharum Officinarum Extract/Sugarcane Extract/Extrait De Canne A Sucre, Hydroxypropyltrimonium Hydrolyzed Wheat Protein, Hexyl Cinnamal, Linalool, Phenoxyethanol, Citrus Limon Peel Extract/Lemon Peel Extract, Pyrus Malus Fruit Extract/Apple Fruit Extract, Camellia Sinensis Leaf Extract."
Product ID,Ingredients
U16,"Aqua / Water / Eau, Sodium Laureth Sulfate, Coco-Betaine, Sodium Chloride, Glycol Distearate, Dimethicone, Citric Acid, Parfum / Fragrance, Sodium Benzoate, Sodium Hydroxide, Hexylene Glycol, Cocamide Mipa, Salicylic Acid, Carbomer, Guar Hydroxypropyltrimonium Chloride, Limonene, Squalane, Butyrospermum Parkii Butter / Shea Butter, Hexyl Cinnamal, Coumarin, Benzyl Alcohol, Ethylhexyl Salicylate, Linalool, Amyl Cinnamal, Fumaric Acid"
U17,"Butane, Hydrofluorocarbon 152a, Oryza Sativa (Rice) Starch, Alcohol Denat., Fragrance, Cocoyl Hydrolyzed Keratin, Distearyldimonium Chloride, Cetrimonium Chloride"
U18,"Water/Aqua/Eau, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Propylene Glycol, Sodium Methyl Cocoyl Taurate, Cocamide MEA, Sorbitol, Hydrolyzed Hair Keratin, Keratin, Hydrolyzed Keratin, Cocodimonium Hydroxypropyl Hydrolyzed Keratin, Hydrolyzed Keratin PG-Propyl Methylsilanediol, Laurdimonium Hydroxypropyl Hydrolyzed Keratin, Aleurites Moluccanus Seed Oil, Phosphatidylcholine, Schinziophyton Rautanenii Kernel Oil, Rosa Canina Fruit Oil, Psidium Guajava Fruit Extract, Aloe Barbadensis Leaf Juice, Oenothera Biennis (Evening Primrose) Oil, Tocopheryl Acetate, Glycolipids, Tetrasodium Glutamate Diacetate, Cetrimonium Chloride, Sodium Cocoamphoacetate, Guar Hydroxypropyltrimonium Chloride, Amodimethicone, Citric Acid, Hydrogenated Castor Oil/Sebacic Acid Copolymer, Sodium Citrate, Glycerin, Trideceth-12, Polyquaternium-55, Arginine HCl, Thioctic Acid, Butyl Methoxydibenzoylmethane, Allantoin, Sodium Ascorbyl Phosphate, Phenoxyethanol, Sodium Benzoate, Sodium Hydroxide, Sodium Chloride, Sodium Hyaluronate, Hydroxycitronellal, Fragrance/Parfum."
U19,"Aqua, Aloe Barbadensis Leaf Juice*, Sodium Methyl Cocoyl Taurate, Cocamidopropyl Betaine, Sodium Chloride, Decyl Glucoside, Coco-Glucoside, Glyceryl Oleate, Coconut Acid, Propanediol, Pentylene Glycol, Caprylyl Glycol, Potassium Sorbate, Mentha Arvensis Leaf Oil*, Olea Europaea Fruit Oil*, Chenopodium Quinoa Seed, Menthol*, Ethylhexylglycerin, Polyquaternium-10, Sodium Benzoate, Hydrolyzed Jojoba Esters, Helianthus Annuus Seed Oil*, Cocamidopropyl Dimethylamine, Hippophae Rhamnoides Kernel Extract*, Glycerin, Jojoba Esters, Linum Usitatissimum Seed Oil*, Macadamia Integrifolia Seed Oil*, Squalane, Helianthus Annuus Hybrid Oil, Rosmarinus Officinalis Leaf Oil*, Butylene Glycol, Sodium Acetate, Citric Acid, Water, Equisetum Arvense Extract, Hibiscus Sabdariffa Flower Extract, Hylocereus Undatus Fruit Extract, Isopropyl Alcohol, Tetrasodium EDTA, Chamomilla Recutita Flower Extract, Urtica Dioica Leaf Extract, Alcohol Denat., Maltodextrin, Parfum, Serenoa Serrulata Fruit Extract, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Chloroacetic Acid, Glycine, Larix Europaea Wood Extract, Sodium Metabisulfite, Camellia Sinensis Leaf Extract*, Zinc Chloride, Apigenin, Oleanolic Acid, Biotinoyl Tripeptide-1.* Certified Organic Ingredients"
U20,"Aqua / Water / Eau, Sodium Laureth Sulfate, Citric Acid, Cocamidopropyl Betaine, Sodium Hydroxide, Sodium Chloride, Parfum / Fragrance, Sodium Benzoate, Glycine, Hexylene Glycol, Glycolic Acid, Propylene Glycol, Salicylic Acid, Menthol, Polyquaternium-10, Limonene, Saccharomyces/Xylinum/Black Tea Ferment, Hexyl Cinnamal, Coumarin, Benzyl Alcohol, Linalool, Glycerin, Amyl Cinnamal, Sorbitol, Camellia Sinensis Leaf Extract, Potassium Sorbate, Ascorbic Acid"
U21,"Aqua / Water / Eau, Sodium Laureth Sulfate, Sodium Chloride, Coco-Betaine, Glycol Distearate, Dimethicone, Cocamide Mipa, Sodium Benzoate, Hexylene Glycol, Parfum / Fragrance, Salicylic Acid, Carbomer, CI 60730 / Ext. Violet 2, Guar Hydroxypropyltrimonium Chloride, Sodium Hydroxide, Citric Acid."
U22,"Aqua (Water, Eau), Sodium Laureth Sulfate, Cocamide MIPA, Cocamidopropyl Betaine, Hedychium Coronarium (White Ginger) Flower/Leaf/Stem Extract, Simmondsia Chinensis (Jojoba) Leaf Extract, Aloe Barbadensis Leaf Extract, Anthemis Nobilis Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Algae Extract, Bisamino PEG/PPG-41/3 Aminoethyl PG-Propyl Dimethicone, PEG-12 Dimethicone, Glycol Stearate, PEG-14M, Tetrasodium EDTA, Citric Acid, Sodium Chloride, Glycerin, Methylchloroisothiazolinone, Methylisothiazolinone, Magnesium Chloride, Magnesium Nitrate, Parfum (Fragrance), Benzyl Alcohol, Benzyl Benzoate."
U23,"Water/Eau/Aqua, Sodium Lauroyl Methyl Isethionate, Cocamidopropyl Hydroxysultaine, Sodium Methyl Cocoyl Taurate, Decyl Glucoside, Cetearyl Alcohol, Glyceryl Caprylate/Caprate, Cetyl Alcohol, Cetyl Stearate, Charcoal Powder, Betaine, Sodium Cocoyl Alaninate, Tetrasodium Glutamate Diacetate, Hydroxyphenyl Propamidobenzoic Acid,Sodium Polystyrene Sulfonate, PEG-5 Ethylhexanoate, Glyceryl Stearate, Isostearyl Isostearate, Stearic Acid, Potassium Cetyl Phosphate, Glycerin, Steareth-20, PEG-75 Stearate, Trideceth-9, Ceteth-20, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Fragrance/Parfum, Sodium Hydroxide, Propanediol, Ethylhexylglycerin, Hydroxyacetophenone, Linalool, Hexyl Cinnamal, Citronellol, Limonene"
U24,"Aqua/Water/Eau, Disodium Laureth Sulfosuccinate, Sodium Lauroyl Methyl Isethionate, Cocamidopropyl Betaine, Sodium Lauryl Sulfoacetate, Glycol Distearate, Divinyldimethicone/Dimethicone Copolymer, Coco-Glucoside, Glycereth-26, Panthenol, Parfum/Fragrance, Sodium Chloride, Ppg-5-Ceteth-20, Methyl Gluceth-20, Polyquaternium-10, Amodimethicone, Peg-55 Propylene Glycol Oleate, Propylene Glycol, Trisodium Ethylenediamine Disuccinate, Carbomer, C11-15 Pareth-7, Benzoic Acid, Sodium Benzoate, Sclerocarya Birrea Seed Oil, Tocopherol, Butyrospermum Parkii Butter/Shea Butter, Ethylhexyl Methoxycinnamate, Butylene Glycol, Hydrolyzed Vegetable Protein Pg-Propyl Silanetriol, Laureth-9, Glycerin, C12-13 Pareth-23, Benzyl Alcohol, C12-13 Pareth-3, Trideceth-12, Helianthus Annuus Seed Extract/Sunflower Seed Extract, Magnesium Nitrate, Phenoxyethanol, Sodium Acetate, Salicylic Acid, Isopropyl Alcohol, Methylchloroisothiazolinone, Melanin, Potassium Sorbate, Sorbic Acid, Magnesium Chloride, Methylisothiazolinone, Pentylene Glycol, Bht, Ethylhexylglycerin, Citric Acid, Sodium Hydroxide."
U25,"Aqua/Water/Eau, Coco-Betaine, Disodium Laureth Sulfosuccinate, Sodium Cocoyl Isethionate, Sodium Lauryl Sulfoacetate, Sodium Lauroyl Sarcosinate, Glycol Distearate, Sodium Chloride, Decyl Glucoside, Polyquaternium-10, Sodium Hydroxide, Parfum/Fragrance, Amodimethicone, Ppg-5-Ceteth-20, Citric Acid, Peg-55 Propylene Glycol Oleate, Propylene Glycol, Carbomer, Ci 60730/Acid Violet 43, Acrylates/Beheneth-25 Methacrylate Copolymer, Camelina Sativa Seed Oil, Butylene Glycol, Benzoic Acid, Tocopherol, Olea Europaea Fruit Oil/Olive Fruit Oil, Trideceth-6, Glycerin, Helianthus Annuus Seed Extract/Sunflower Seed Extract, Salicylic Acid, Magnesium Nitrate, Hydrolyzed Vegetable Protein Pg-Propyl Silanetriol, Arginine, 2-Oleamido-1,3-Octadecanediol, Cetrimonium Chloride, Poly(Linseed Oil), Benzophenone-4, Sodium Benzoate, Phenoxyethanol, Orchis Mascula Extract, Methylchloroisothiazolinone, Haematococcus Pluvialis Extract, Magnesium Chloride, Methylisothiazolinone, Caprylic/Capric Triglyceride, Potassium Sorbate."
U26,"Water\Aqua\Eau, Sodium Laureth Sulfate, Lauramidopropyl Betaine, Aloe Barbadensis (Aloe Vera) Leaf Juice, Panthenol (Vitamin B5), Glycerin, Myristamine Oxide, Polyquaternium-10, Polyquaternium-11, Acetamide MEA, Sorbitol, Tetrasodium EDTA, Citric Acid, Sodium Chloride, Phenoxyethanol, Methylchloroisothiazolinone, Methylisothiazolinone, Ext. Violet 2 (CI 60730), Hexyl Cinnamal, Linalool, Limonene, Fragrance (Parfum), Pro-Vitamin\Vitamine."
U27,"Aqua (Water, Eau), Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Propanediol, Glycol Distearate, Argania Spinosa Kernel Oil, Cocos Nucifera (Coconut) Oil, Mel (Honey, Miel), Melaleuca Alternifolia (Tea Tree) Leaf Oil, Olea Europaea (Olive) Fruit Oil, Biotin, Persea Gratissima (Avocado) Oil, Ricinus Communis (Castor) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Butyrospermum Parkii (Shea) Butter, Aloe Barbadensis Leaf Juice, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Glycine Soja (Soybean) Oil, Glycine Soja (Soybean) Sterols, Glycolipids, Glycerin, Phospholipids, Amodimethicone, Guar Hydroxypropyltrimonium Chloride, Hydroxyethylcellulose, Lauryl Lactyl Lactate, Hydroxyacetophenone, PEG-150 Distearate, Parfum (Fragrance), Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Celluose, Phenoxyethanol, Citric Acid, PEG-150 Stearate, Disodium EDTA, PEG-1M, Stearic Acid, Sodium Hydroxide, Sodium Acetate, Potassium Sorbate, Sodium Benzoate, Linalool"
U28,"Sodium Cocoyl Isethionate, Sodium Methyl Cocoyl Taurate, Vegetable Glycerin, Hydrogenated Castor Oil, Guar Hydroxypropyltrimonium Chloride, Hydrolyzed Rice Protein, Natural Fragrance*, Iron Oxide."
U29,"Water (Aqua), Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Sodium Cocoyl Isethionate, Glycerin, Fragrance, Glycol Distearate, Cocamide MIPA, Sodium Lauroyl Sarcosinate, Sodium Chloride, Bertholletia Excelsa (Brazil Nut) Seed Oil, Cocos Nucifera (Coconut) Oil, Theobroma Grandiflorum (Cupuaçu) Seed Butter, Mauritia Flexuosa (Buriti) Fruit Oil, Euterpe Oleracea (Açaí) Fruit Oil, Chamomilla Recutita Flower Extract, Gardenia Jasminoides Fruit Extract, Caprylic/Capric Triglyceride, Coco-Glucoside, Coconut Acid, Isopropanolamine, Polyquaternium-7, Algin, Chitosan, Xanthan Gum, Carrageenan, Tetrasodium Glutamate Diacetate, Sodium Isethionate, Sodium Formate, Sodium Glycolate, Maltodextrin, Sodium Hydroxide, Sodium Benzoate, Sodium Sulfate, Guar Hydroxypropyltrimonium Chloride, Sorbitan Oleate, Citric Acid, Ethylhexylglycerin, Phenoxyethanol, Benzyl Salicylate, Coumarin, Geraniol, Hydroxycitronellal, Limonene, Linalool"
U30,"Hydrofluorocarbon 152a, Isobutane, Alcohol Denat., Oryza Sativa (Rice) Starch, Propane, Hydroxypropylcellulose, Microcrystalline Cellulose, Dipropylene Glycol, Cetrimonium Chloride, Caprylyl Glycol, Disteardimonium Hectorite, Pentylene Glycol, Propanediol, Citronellyl Methylcrotonate, Cellulose, Water/Eau/Aqua, Furcellaria Lumbricalis Extract, Zeolite, Ethylcellulose, C12-15 Alketh-2, Fragrance/Parfum, Ethylhexylglycerin, Limonene, Citronellol, Hexyl Cinnamal, Benzyl Salicylate, Citral, Linalool"
U31,"Water\Aqua\Eau, Disodium Laureth Sulfosuccinate, Sodium Cocoyl Isethionate, Sodium Lauryl Sulfoacetate, Glycerin, Sodium Lauroyl Sarcosinate, Coco-Betaine, Acrylates Copolymer, Decyl Glucoside, Butylene Glycol, Glycol Distearate, Laureth-23, Glycereth-26, Vitis Vinifera (Grape) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Macadamia Integrifolia Seed Oil, Cocos Nucifera (Coconut) Oil, Gardenia Tahitensis (Tiare) Flower Extract, Argania Spinosa Kernel Oil, Hydroxypropyltrimonium Hydrolyzed Corn Starch, Carthamus Tinctorius (Safflower) Seed Oil, Sodium Hyaluronate, Phenyl Trimethicone, Panthenyl Ethyl Ether, Sodium PCA, Pantethine, Polyquaternium-7, Polyquaternium-10, Potassium Hydroxide, Sodium Chloride, Sodium Sulfate, Fragrance (Parfum), Linalool, Hexyl Cinnamal, Butylphenyl Methylpropional, Phenoxyethanol, Methylisothiazolinone, Methylchloroisothiazolinone."
U32,"Active Ingredient: Salicylic Acid @ 3%, Water, Sodium Methyl Cocoyl Taurate*, Cocamidopropyl Betaine*, Glycerin*, Sodium Citrate*, Glycol Distearate*, Melaleuca Alternifolia (Tea Tree) Leaf Oil*, Sodium PCA*, Lactic Acid*, Menthyl Lactate*, Sodium Gluconate*, Panthenol, Mentha Piperita (Peppermint) Oil*, Caramel*, Maltodextrin*, Hydrolyzed Gardenia Florida Extract*, Charcoal Powder*, Cocos Nucifera (Coconut) Oil*, Biotin, Hyaluronic Acid*"
U33,"Aqua, Aloe Barbadensis Leaf Juice*, Sodium Methyl Cocoyl Taurate, Cocamidopropyl Betaine, Sodium Chloride, Decyl Glucoside, Coco-Glucoside, Glyceryl Oleate, Propanediol, Coconut Acid, Sodium Lauroamphoacetate, Parfum, Pentylene Glycol, Caprylyl Glycol, Hydrolyzed Jojoba Esters, Potassium Sorbate, Chenopodium Quinoa Seed, Sodium Benzoate, Caprylic/Capric Triglyceride, Niacinamide, Ricinus Communis Root Extract, Ethylhexylglycerin, Polyquaternium-10, Cocamidopropyl Dimethylamine, Adansonia Digitata Fruit Extract, 4-Tert-Butylcyclohexyl Acetate, Hexyl Salicylate, Jojoba Esters, Glycerin, Helianthus Annuus Hybrid Oil*, Rosmarinus Officinalis Leaf Oil*, Argania Spinosa Kernel Oil*, Arginine, Hexylene Glycol, Polyquaternium-7, Panthenol, Sodium Hyaluronate, Olea Europaea Fruit Oil*, Ricinus Communis Seed Oil*, Panax Ginseng Root Extract, Butylene Glycol, Amaranthus Caudatus Extract, Equisetum Arvense Extract, Durvillaea Potatorum Extract, Citric Acid, Sodium Acetate, Hydrolyzed Collagen, Isopropyl Alcohol, Tetrasodium EDTA, Ceramide NG, Phenoxyethanol, Biotin, Chloroacetic Acid"
